;1882-11-28_1
chambre;80.0
député;12.0
session;1.0
extraordinaire;1.0
compte;44.0
rendu;25.0
extenso;2.0
séanci;1.0
séance;11.0
mardi;1.0
novembre;3.0
sommaire;1.0
demande;36.0
congé;15.0
suite;16.0
discussion;34.0
projet;25.0
loi;30.0
portant;2.0
fixation;4.0
budget;96.0
général;23.0
dépense;31.0
recette;3.0
exercice;12.0
ministère;13.0
marine;242.0
colonie;32.0
granet;34.0
ministre;190.0
georges;36.0
perin;20.0
langlois;12.0
comte;24.0
douville;9.0
mailleteu;1.0
lorois;2.0
chapitre;56.0
traitement;10.0
personnel;12.0
administration;22.0
centrale;3.0
mathieu;3.0
rapporteur;22.0
adoption;8.0
etats-majors;3.0
équipage;8.0
terre;17.0
mer;14.0
per;2.0
eonnel;1.0
naviguant;3.0
troupe;7.0
amendement;12.0
dréolle;3.0
roche;17.0
retrait;1.0
corps;29.0
entretenu;2.0
agent;4.0
hurard;11.0
hurarrl;1.0
manne;1.0
rejet;1.0
prise;6.0
considération;3.0
chapitra;1.0
vivres;2.0
dépôt;6.0
lagrange;2.0
rapport;35.0
nom;28.0
commission;92.0
intérêt;18.0
local;4.0
relatif;4.0
surtaxe;2.0
établir;12.0
vin;4.0
octroi;4.0
taninges;1.0
hautesavoie;1.0
cidre;2.0
poirés;2.0
hydromel;1.0
sallanches;2.0
haute-savoie;1.0
intérieur;4.0
tendant;2.0
autoriser;2.0
ville;3.0
tourcoing;2.0
nord;2.0
emprunter;2.0
distraire;2.0
hameau;2.0
chazabotte;1.0
commune;6.0
longecombe;1.0
canton;2.0
hauteville;2.0
arrondissement;5.0
belley;2.0
département;21.0
ain;2.0
annexer;2.0
chaley;2.0
waldeck-rousseau;1.0
proposition;5.0
relative;3.0
création;4.0
caisse;1.0
retraite;5.0
ouvrier;7.0
mineur;2.0
ordre;17.0
jour;29.0
arthur;3.0
picard;3.0
présidence;3.0
henri;1.0
brisson;1.0
ouverte;1.0
armez;1.0
secrétaire;2.0
donne;7.0
lecture;4.0
procès-verbal;3.0
hier;3.0
adopté;12.0
président;45.0
bravet;1.0
truelle;1.0
demandent;3.0
renvoyées;1.0
comanission;1.0
appelle;6.0
portent;1.0
ouvre;2.0
Monsieur;78.0
délai;5.0
voulu;11.0
accorder;5.0
remercie;2.0
hésitation;3.0
aborde;2.0
débat;3.0
tâche;1.0
ingrat;1.0
venir;8.0
critiquer;2.0
vice;4.0
organisation;17.0
intérieure;2.0
institution;5.0
réclamer;3.0
service;80.0
pays;15.0
protéger;3.0
éclat;2.0
défaillance;1.0
présent;8.0
dit;40.0
plaît;1.0
renouveler;2.0
témoignage;3.0
marquer;2.0
esprit;11.0
apporte;4.0
orgueil;2.0
revers;1.0
consolation;1.0
désastre;1.0
messieurg;1.0
reconnaissance;1.0
devoir;10.0
patriotisme;6.0
droit;24.0
avons;19.0
accompli;4.0
moitié;3.0
obligation;2.0
aven;1.0
accordé;9.0
gouvernement;12.0
ressource;13.0
nécessaire;18.0
assurer;6.0
défense;7.0
paya;1.0
mission;5.0
surveiller;1.0
rigoureusement;1.0
emploi;7.0
exercer;3.0
sévère;2.0
contrôle;19.0
rine;3.0
reçu;11.0
libéralité;1.0
parlement;15.0
peut-être;11.0
opportun;1.0
moment;39.0
homme;26.0
etat;11.0
méditerranée;2.0
convention;1.0
faire;57.0
lac;1.0
français;6.0
appelé;9.0
devenir;4.0
théâtre;1.0
régleront;1.0
avenir;7.0
prochain;3.0
grand;50.0
question;47.0
politique;5.0
diplomatiques;1.0
agitent;1.0
europe;2.0
commencement;3.0
siècle;3.0
indispensable;4.0
réveil;1.0
colonial;5.0
obligera;1.0
doute;10.0
porter;8.0
lointaines;1.0
pavillon;1.0
france;16.0
accroître;1.0
conquête;1.0
violence;1.0
maintenir;5.0
légitime;3.0
infloence;1.0
conserver;5.0
possession;3.0
ombre;1.0
drapeau;1.0
gauche;58.0
vote;10.0
occasion;9.0
naturel;3.0
demander;8.0
eat;4.0
pénétrer;4.0
détail;9.0
viendra;3.0
tribune;35.0
voua;4.0
inventaire;5.0
évoluant;1.0
souvenir;6.0
mêlé;2.0
vou;1.0
dira;4.0
pouvez;3.0
reposer;1.0
fécuritè;1.0
cei;1.0
déclaration;2.0
nouvelle;5.0
réponse;18.0
ordinaire;7.0
oppose;2.0
réclamation;3.0
rappelle;6.0
aller;2.0
au-devant;1.0
objection;7.0
résolu;1.0
répondre;13.0
reste;10.0
document;8.0
distribués;3.0
dénombrement;2.0
navale;17.0
flotte;18.0
annexé;2.0
énumère;1.0
pompeusement;1.0
nombre;46.0
âge;5.0
qualité;7.0
vaisseau;43.0
indique;3.0
chiffre;14.0
million;13.0
représentent;1.0
permettez-moi;1.0
sorte;18.0
revue;2.0
apparat;1.0
grossit;1.0
effectif;3.0
sérieux;12.0
non-valeur;3.0
pêle-mêle;1.0
méthode;3.0
classement;3.0
régulier;2.0
présen-;1.0
tent;1.0
type;13.0
parfait;1.0
harmonie;2.0
récentes;1.0
découverte;1.0
science;5.0
côté;19.0
navire;68.0
démodés;4.0
relégué;1.0
port;41.0
bonneur;2.0
puisqu;4.0
rappellent;1.0
utilité;2.0
armée;6.0
bigarrée;1.0
bizarre;1.0
entasse;1.0
côte;3.0
vétéran;1.0
recrue;1.0
veille;7.0
invalide;2.0
vrai;19.0
compensation;1.0
décompte;1.0
recense;1.0
existent;3.0
trouver;12.0
prouve;3.0
consulter;2.0
fournis;1.0
prends;3.0
exemple;17.0
indomptable;4.0
tonnant;2.0
aréthuse;2.0
consulte;5.0
tableau;17.0
joint;3.0
trouve;10.0
figurent;2.0
crô;1.0
fort;9.0
importante;4.0
indi;1.0
qué;1.0
parvenu;1.0
centième;5.0
complète;6.0
construction;56.0
voyez;4.0
figurer;3.0
définitive;2.0
venu;5.0
dernier;33.0
terme;13.0
vérité;7.0
passe;4.0
volant;1.0
paraître;2.0
parlais;7.0
viennent;4.0
sincère;1.0
dis;11.0
statistique;2.0
fût-ette;1.0
exacte;2.0
illusion;1.0
fût-elle;1.0
sévèrement;1.0
écartée;1.0
apprend;2.0
point;41.0
renseigner;1.0
constitue;3.0
mvale;1.0
victoire;1.0
gros;3.0
bataillon;1.0
propre;8.0
individuel;2.0
noa;1.0
regard;1.0
progrès;13.0
architecture;1.0
nautique;1.0
puissance;18.0
artillerie;25.0
résistance;4.0
cuirasse;11.0
deviez;1.0
apprendre;3.0
muette;2.0
écarte;2.0
apparence;5.0
réalité;6.0
menace;1.0
ventualités;1.0
produis;1.0
effort;5.0
suprême;1.0
constituer;2.0
escadre;23.0
réserve;12.0
former;2.0
exhuma;1.0
fond;4.0
ferai;4.0
injure;4.0
donner;19.0
qualification;1.0
ministra;1.0
aveo;1.0
