;1916-11-28_2
chambre;555.0
député;39.0
légillature;1.0
session;9.0
compte;137.0
rendu;49.0
extenso;12.0
goraité;1.0
secret;229.0
novembre;149.0
sommaire;10.0
cussion;2.0
interpellation;155.0
lieullier-surcouf;1.0
abel;74.0
ferry;76.0
néces;4.0
abroger;3.0
retard;28.0
décret;78.0
dedécernbre;1.0
rattacher;4.0
ministère;75.0
guerre;926.0
corps;97.0
expéditionnaire;65.0
ent;23.0
augagneur;84.0
proposition;32.0
gouvernement;851.0
présentées;4.0
jvi;1.0
défendues;3.0
accord;142.0
commandement;201.0
opération;264.0
combinée;10.0
tient;17.0
charles;114.0
chaumet;112.0
orn;2.0
iation;1.0
conduite;67.0
expédition;50.0
rient;3.0
emile;43.0
constant;36.0
gironde;8.0
insuffisance;16.0
manifeste;13.0
logique;4.0
précédé;10.0
loyal;7.0
recours;1.0
apporté;23.0
roumanie;179.0
use;2.0
justice;23.0
droit;170.0
reposé;2.0
général;618.0
aristide;32.0
briand;46.0
préétront;1.0
conseil;801.0
ministre;593.0
affaire;156.0
étranger;72.0
discussion;153.0
meuçj;1.0
urcouf;1.0
victor;71.0
aumet;1.0
ierenvoi;1.0
suite;156.0
demain;84.0
présidence;20.0
paul;38.0
deschanel;8.0
séance;183.0
reprise;70.0
vingt-cinq;6.0
minute;34.0
comité;238.0
président;1216.0
conformément;9.0
troico;1.0
paragraphe;7.0
article;24.0
loi;36.0
utionnelle;1.0
juillet;52.0
déclahr;1.0
formée;2.0
conséquence;37.0
ordre;244.0
jour;375.0
appelle;38.0
uiunier-surcouf;1.0
essité;1.0
décembre;71.0
jwfustcre;1.0
expéditionj;1.0
orient;164.0
psitions;1.0
prélllelcs;1.0
comcn;1.0
mcnt;1.0
anisation;1.0
sùto;1.0
conque;2.0
conjl;1.0
cause;86.0
thierry-cazes;3.0
demande;360.0
pasur;1.0
méthode;77.0
suivre;33.0
ssion;2.0
con;23.0
denl;1.0
ande;1.0
lent;14.0
wih;1.0
collègue;190.0
désireux;5.0
obtesectet;1.0
siégeant;2.0
extrême;123.0
gauche;272.0
ftî;1.0
consail;2.0
prie;42.0
tqo;1.0
exclser;1.0
grippé;1.0
ferai;20.0
vopossl;1.0
faire;613.0
entendre;44.0
liter;1.0
vouloir;51.0
facieilles;1.0
effort;317.0
diltalll;1.0
nombre;261.0
disch;1.0
lreux;1.0
obtenir;85.0
explica-;1.0
tions;19.0
utile;27.0
temps;176.0
laisser;47.0
éterniser;2.0
pourraient;23.0
devenir;16.0
inefficaces;2.0
prolongeant;1.0
inquiéter;2.0
opinion;69.0
pays;283.0
demandé;106.0
serait;130.0
meilleur;50.0
adopter;9.0
réaliser;74.0
but;57.0
appliquent;8.0
dernier;133.0
réduisant;4.0
minimum;18.0
employé;37.0
discuter;52.0
suggéré;4.0
peut-être;131.0
pourrait;76.0
question;618.0
objet;46.0
apporter;50.0
explication;70.0
générale;51.0
auraient;42.0
dissiper;8.0
malentendu;14.0
inquiétude;48.0
leurre;1.0
illusion;17.0
naïveté;2.0
croire;48.0
pareil;23.0
résultat;166.0
obtenu;36.0
înais;1.0
déblayer;1.0
champ;22.0
débat;109.0
permettre;72.0
ensuite;62.0
nterpellate;1.0
porter;45.0
point;391.0
spéciaux;5.0
dossier;20.0
disposée;2.0
pareille;32.0
offre;9.0
exposer;18.0
événement;104.0
entends;40.0
salonique;168.0
grèce;98.0
alexandre;24.0
varenne;21.0
pologne;9.0
crois;140.0
actuelle;108.0
appelez;4.0
polonaise;1.0
sentiment;50.0
aspiration;13.0
lieu;125.0
envisager;40.0
resterait;2.0
considérer;25.0
tact;4.0
susceptibilité;13.0
parfaitement;30.0
respectables;3.0
pense;46.0
dirigées;5.0
préoccupation;57.0
attachent;1.0
militaire;195.0
région;33.0
condition;228.0
appelé;38.0
ranger;4.0
côté;159.0
entrée;47.0
raison;153.0
assistons;1.0
action;178.0
conçue;5.0
arrivée;19.0
espérer;27.0
qulfte;1.0
concerne;127.0
extérieures;21.0
trouvent;16.0
dirai;58.0
posée;43.0
indiquées;12.0
satisfaisante;3.0
voudra;15.0
reconnaître;21.0
acceptant;2.0
prendre;161.0
position;17.0
demandeur;2.0
rends;4.0
facile;30.0
rôle;44.0
permets;23.0
interpellateur;14.0
connaissant;3.0
avance;18.0
objection;17.0
aurait;129.0
opposer;17.0
réduire;17.0
sérier;2.0
argument;21.0
viendra;11.0
intervention;44.0
adresse;24.0
entière;27.0
sais;83.0
quasi-unanimité;1.0
forcément;4.0
assemblée;54.0
parti;73.0
pris;143.0
humains;1.0
désir;48.0
recevoir;22.0
circonstance;74.0
tragiques;2.0
somme;308.0
nature;32.0
rassurer;6.0
nettement;30.0
loyalement;6.0
connais;20.0
mêlé;5.0
chef;242.0
Monsieur;630.0
grave;125.0
envisage;19.0
événe-;1.0
ments;32.0
vue;204.0
actualité;1.0
roumain;100.0
indique;35.0
rapide;67.0
historique;5.0
noble;9.0
généreux;2.0
manière;50.0
chevaleresque;2.0
entré;7.0
engagé;50.0
négociation;45.0
allié;387.0
fut;62.0
négliger;9.0
peuple;35.0
balkans;19.0
efforcer;4.0
concours;61.0
appliquèrent;1.0
origine;13.0
ensemble;72.0
bulgare;64.0
grec;58.0
aboutirent;3.0
ailleurs;71.0
pouvait;98.0
prévoir;16.0
moment;394.0
venu;38.0
savez;89.0
entrèrent;1.0
disparition;4.0
scène;7.0
gouvernementale;14.0
venizelos;27.0
programme;197.0
étendu;4.0
nationale;80.0
montré;23.0
disposé;6.0
entrer;40.0
situation;198.0
délicat;22.0
inquiétante;4.0
allemand;192.0
installés;2.0
habitude;14.0
pratiquer;2.0
lorsqu;80.0
veulent;17.0
infiltrer;1.0
asservir;1.0
dessein;6.0
employèrent;1.0
moyen;214.0
corruption;5.0
embauchage;1.0
redouter;6.0
donné;204.0
nationaux;8.0
profondément;18.0
tournés;7.0
puissance;70.0
entente;44.0
faveur;8.0
sorte;79.0
coup;115.0
etat;171.0
gouvernemental;7.0
fût;39.0
entraîné;9.0
sort;10.0
bulgarie;46.0
tractation;9.0
amener;18.0
portaient;7.0
connaissez;11.0
russie;92.0
devait;68.0
concession;10.0
essentielles;3.0
réalisation;31.0
longue;40.0
difficiles;13.0
bratiano;14.0
tête;41.0
pouvoir;104.0
rencontrait;5.0
difficulté;130.0
légitime;12.0
prouvent;4.0
engager;14.0
dangereuse;8.0
multipliait;1.0
précaution;15.0
eut;18.0
loin;53.0
allemagne;127.0
autriche;32.0
commencèrent;1.0
multiplièrent;1.0
acte;90.0
pression;24.0
devaient;20.0
aboutir;22.0
traité;12.0
commerce;41.0
voyait;8.0
obligé;79.0
reste;75.0
vie;51.0
économique;22.0
géographique;2.0
trouve;46.0
influence;18.0
troupe;175.0
massées;2.0
frontière;32.0
cession;11.0
céréale;3.0
